checkpoint,kmmlu,kmmlu_hard,kmmlu_pro,click,kobalt_700,haerae_bench_1p1_mcq,kobest_boolq,kobest_copa,kobest_hellaswag,kobest_sentineg,kobest_wic,ko_weighted
1.5B,24.87582072509278,23.732943469785575,19.631467044649185,24.210526315789473,9.714285714285714,20.57681641708264,50.427350427350426,53.0,24.4,45.08816120906801,52.46031746031746,26.00439244197054
6B,28.01598629745932,23.952241715399612,20.092133238837704,23.709273182957393,9.142857142857142,21.020521353300055,49.92877492877493,50.9,24.6,46.34760705289673,51.34920634920634,28.06429626263774
9.5B,28.124464744504714,23.732943469785575,20.729978738483346,24.360902255639097,8.142857142857144,20.660011092623407,50.35612535612536,49.1,23.200000000000003,46.59949622166247,49.36507936507937,28.058616380779277
13.5B,27.913217242363686,24.244639376218323,21.119773210489015,25.062656641604008,7.571428571428572,20.74320576816417,50.78347578347579,49.7,26.200000000000003,49.622166246851386,48.73015873015873,28.062402968684918
15B,28.38138738224379,26.242690058479536,20.517363571934798,26.81704260651629,9.714285714285714,20.02218524681087,50.427350427350426,48.9,27.200000000000003,47.3551637279597,52.142857142857146,28.590631981521454
16B,27.236654296317443,24.244639376218323,19.702338766832035,24.862155388471177,10.0,20.382695507487522,50.35612535612536,51.4,25.6,46.85138539042821,48.095238095238095,27.51713431027301
